,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
2768,False,/iFPpb2KIWKwBfyqSJivE4JegFPP.jpg,"[16, 10751, 14]",10895,en,Pinocchio,"When loving Geppetto creates a wooden puppet, his wish is granted when it comes to life as a little wooden boy named Pinocchio. With his faithful friend and conscience Jiminy Cricket by his side, Pinocchio, embarks on fantastic adventures that his bravery, loyalty and honesty until triumphs in his triumphs in his quest for his heart's desire: to become a real boy.",48.923,/bnZJrLRnoQHpzEJdka1KYfsAF3N.jpg,1940-02-23,Pinocchio,False,7.106,5663
2769,False,/kjQBrc00fB2RjHZB3PGR4w9ibpz.jpg,"[28, 12, 878]",670292,en,The Creator,"Amid a future war between the human race and the forces of artificial intelligence, a hardened ex-special forces agent grieving the disappearance of his wife, is recruited to hunt down and kill the Creator, the elusive architect of advanced AI who has developed a mysterious weapon with the power to end the war—and mankind itself.",277.618,/vBZ0qvaRxqEhZwl6LWmruJqWE8Z.jpg,2023-09-27,The Creator,False,7.105,2671
2770,False,/S3EIcOUQYxgd3QzjOo2rZJ2MN8.jpg,"[28, 18, 10752]",554600,hi,Uri: The Surgical Strike,"Following the roguish terrorist attacks at Uri Army Base camp in Kashmir, India takes the fight to the enemy, in its most successful covert operation till date with one and only one objective of avenging their fallen heroes.",69.936,/yNySAgpAnWmPpYinim9E0tUzJWG.jpg,2019-01-11,Uri: The Surgical Strike,False,7.105,381
2771,False,/hPHahVM3JDlE0Zexu6avavypk0g.jpg,"[28, 12, 878, 10770]",13001,en,Stargate: The Ark of Truth,"SG-1 searches for an ancient weapon which could help them defeat the Ori, and discover it may be in the Ori's own home galaxy. As the Ori prepare to send ships through to the Milky Way to attack Earth, SG-1 travels to the Ori galaxy aboard the Odyssey. The International Oversight committee have their own plans and SG-1 finds themselves in a distant galaxy fighting two powerful enemies.",18.655,/kIqsCdZBmKYuPwaDnrFYzK1gqlM.jpg,2008-03-11,Stargate: The Ark of Truth,False,7.105,468
2772,False,/vZk1IggF5XQj4mS7kxG4IiHUSWq.jpg,"[9648, 18]",5335,it,Teorema,"A wealthy Italian household is turned upside down when a handsome stranger arrives, seduces every family member and then disappears. Each has an epiphany of sorts, but none can figure out who the seductive visitor was or why he came.",21.731,/k7rEBaYUTgdxVqYl9aZm5ZcoB41.jpg,1968-09-07,Theorem,False,7.105,381
2773,False,/snWVsaFeodcftpSpztwhcbpypXG.jpg,"[14, 27, 35]",927,en,Gremlins,"When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, unleashing a horde of mischievous gremlins on a small town.",49.715,/sl3I9KD35GqWAI4NXBQ38mLEXEe.jpg,1984-06-08,Gremlins,False,7.105,6110
2774,False,/hQ4pYsIbP22TMXOUdSfC2mjWrO0.jpg,"[18, 35, 10749, 80]",2,fi,Ariel,"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.",17.825,/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,1988-10-21,Ariel,False,7.101,316
2775,False,/mYZYVrQ2ghU3m79q7byeLzNXo1M.jpg,"[18, 36, 80, 53]",302401,en,Snowden,CIA employee Edward Snowden leaks thousands of classified documents to the press.,24.776,/yfK7zxNL63VWfluFuoUaJj5PdNw.jpg,2016-09-15,Snowden,False,7.104,4225
2776,False,/dwFZb1ddwY3TYUVKrkuCNs7Iy2c.jpg,"[12, 80, 18, 53]",206563,pt,Trash,"Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.",14.649,/kd4v23x0lalIRdwgLRkHgBhYBUQ.jpg,2014-10-09,Trash,False,7.103,587
2777,False,/yJYFp97trLmcNAQb5A4SXXhNJU4.jpg,"[35, 10749, 14, 18]",103332,en,Ruby Sparks,"Calvin is a young novelist who achieved phenomenal success early in his career but is now struggling with his writing – as well as his romantic life. Finally, he makes a breakthrough and creates a character named Ruby who inspires him. When Calvin finds Ruby, in the flesh, sitting on his couch about a week later, he is completely flabbergasted that his words have turned into a living, breathing person.",20.237,/zELurt0GVRkR5X5ymuk7KXUxhC8.jpg,2012-07-25,Ruby Sparks,False,7.103,1561
2778,False,/wdHIYawEp7lnf1XNzp6rWxLYgUG.jpg,"[28, 53, 80, 12]",9316,th,องค์บาก,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",28.239,/oagqAwp48dMPoCT94yDJUDOCVPi.jpg,2003-01-21,Ong-Bak,False,7.1,1618
2779,False,/tM7uHa2Km5gSakooTQsZLwit3PK.jpg,"[18, 27, 9648]",4552,ko,"장화, 홍련","A recently released patient from a mental institution returns home with her sister, only to face disturbing events between her stepmother and the ghosts haunting their house – all of which are connected to a dark past in the family's history.",23.925,/l3exwhwyGE0NnHJ3lFQ7eXoBSkH.jpg,2003-06-13,A Tale of Two Sisters,False,7.103,1120
2780,False,/5NWLgFDwDOsLXs5m0tTuyRm4SKa.jpg,"[80, 53, 27]",573,en,Frenzy,"After a serial killer strangles several women with a necktie, London police identify a suspect—but he claims vehemently to be the wrong man.",22.647,/4SFvqrlSigAt9tnhXFSMyKeJWQk.jpg,1972-05-25,Frenzy,False,7.103,856
2781,False,/w4mdpbqx0NqsgNKZ170U0QDcyl3.jpg,"[35, 878, 18]",646380,en,Don't Look Up,Two American astronomers attempt to warn humankind about an approaching comet that will wipe out life on planet Earth.,144.264,/th4E1yqsE8DGpAseLiUrI60Hf8V.jpg,2021-12-07,Don't Look Up,False,7.102,7850
2782,False,/ciXTaqQgLglDfDB5MIBYZOhMXUs.jpg,"[28, 53]",9322,fr,Nikita,"A beautiful felon, sentenced to life in prison for the murder of a policeman, is given a second chance – as a secret political assassin controlled by the government.",30.741,/1ulQDewUG4KKHOhpXdGKm3GdLFq.jpg,1990-02-21,La Femme Nikita,False,7.102,1839
2783,False,/dlyeSZD92Arha6XVBteyNNaPi19.jpg,"[12, 28, 35, 53]",8697,cn,我是誰,"A group of covert CIA operatives trailing a potential new energy source are double-crossed by corrupt agent Morgan, who causes a helicopter crash in remote South Africa. The sole survivor, suffering severe amnesia, is nursed to recovery by a kindly native tribe who call him ""Whoami"" after the question he keeps asking. With the help of a mysterious reporter Christine, Whoami pieces together his past and tracks the turncoat agent and his criminal cohorts.",19.056,/9YDKLbBmWGpxG5bO3TBawtNNOAr.jpg,1998-01-17,Who Am I?,False,7.102,837
2784,False,/oA4n3fCEW86QoLTDDlAfik9eOq9.jpg,[35],437033,es,Toc Toc,Toc Toc follows the adventures and misadventures of a group of patients with OCD dated at the same time.,28.543,/qKrYZOXuayCcqJri6vwfzA8kCxu.jpg,2017-09-01,Toc Toc,False,7.1,1184
2785,False,/635qI5pWhQSUaTnOkMo4GLCe8sV.jpg,"[28, 16, 12, 35, 14]",19576,ja,ワンピース,"There once was a pirate known as the Great Gold Pirate Woonan, who obtained almost one-third of the world's gold. Over the course of a few years, the pirate's existence faded, and a legend grew that he disappeared with his gold to a remote island, an island pirates continue to search for. Aboard the Going Merry, Luffy and his crew, starved and reckless, are robbed of their treasure. In an attempt to get it back, they wreck the getaway ship, guided by a young boy named Tobio, who's a captured part of El Drago's pirate crew. El Drago's love for gold has driven him to look for Woonan's island, and thanks to Woonan's treasure map, he finds it. During this time, Luffy's crew have been split up, and despite their own circumstances, they must find a way to stop El Drago from obtaining Woonan's gold.",22.152,/aRqQNSuXpcE3dkJC43aEg9f2HXd.jpg,2000-03-04,One Piece: The Movie,False,7.101,316
